,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,
424,0,1,0,0,1,0,1,1,0,3,3,ikigai
425,0,1,0,0,0,0,1,2,0,2,2,ikigai
426,0,1,0,0,0,0,0,1,0,1,1,ikigai
427,1,0,1,0,0,1,0,0,1,1,0,ikigai
428,0,1,0,0,1,0,0,1,0,3,3,ikigai
429,0,0,0,0,0,0,0,0,0,3,3,ikigai
430,1,1,1,1,1,1,1,3,1,3,2,ikigai
431,0,2,0,0,1,0,0,1,0,3,3,ikigai
432,0,0,0,0,0,0,0,0,0,1,1,ikigai
433,0,2,0,0,2,0,0,3,0,4,4,ikigai
434,0,2,0,0,3,0,2,3,1,4,3,ikigai
435,0,1,0,0,2,0,0,2,0,5,5,ikigai
436,0,0,0,0,0,0,0,0,0,0,0,ikigai
437,0,0,0,0,0,0,0,0,0,0,0,ikigai
438,0,1,0,0,1,0,1,1,1,3,2,ikigai
439,0,0,0,0,2,0,0,1,0,2,2,ikigai
440,0,1,0,0,0,0,0,0,0,2,2,ikigai
441,0,2,0,0,2,0,1,2,0,4,4,ikigai
442,0,5,0,0,3,1,2,2,0,3,3,ikigai
443,0,2,0,0,1,0,1,2,0,2,2,ikigai
444,0,0,0,0,1,0,0,0,0,1,1,ikigai
445,1,1,2,0,0,0,0,1,2,1,-1,ikigai
446,0,2,0,0,1,0,2,2,0,4,4,ikigai
447,0,0,0,0,0,0,0,0,0,0,0,ikigai
448,0,3,0,0,3,1,3,1,0,4,4,ikigai
449,1,1,1,0,1,0,1,2,1,2,1,ikigai
450,0,0,0,0,0,0,0,2,0,2,2,ikigai
451,0,1,0,0,1,0,0,0,0,2,2,ikigai
452,0,2,0,0,1,0,0,1,0,2,2,ikigai
453,0,0,0,0,0,0,0,2,0,2,2,ikigai
454,0,0,0,0,0,0,0,0,0,0,0,ikigai
455,0,0,0,0,1,0,0,0,0,1,1,ikigai
456,0,1,0,0,1,0,1,2,0,2,2,ikigai
457,0,1,0,0,1,0,1,1,0,1,1,ikigai
458,0,1,0,0,0,0,0,0,0,2,2,ikigai
459,0,2,0,0,2,0,0,2,0,3,3,ikigai
460,0,0,0,0,0,0,0,1,1,2,1,ikigai
461,0,2,0,0,3,0,1,4,0,5,5,ikigai
462,0,1,0,0,2,0,0,3,0,4,4,ikigai
463,0,1,0,0,1,0,0,1,0,2,2,ikigai
464,0,2,0,0,3,0,1,3,0,5,5,ikigai
465,0,0,0,0,0,0,0,0,0,0,0,ikigai
466,0,0,0,0,1,0,0,2,1,3,2,ikigai
467,0,0,0,0,0,0,0,0,0,0,0,ikigai
468,0,1,0,0,2,0,1,1,0,5,5,ikigai
469,0,0,0,0,1,0,0,1,0,2,2,ikigai
470,0,2,0,0,2,0,1,0,0,3,3,ikigai
471,1,0,1,0,1,1,0,1,1,1,0,ikigai
472,1,2,0,0,3,0,2,3,0,4,4,ikigai
473,0,1,0,0,0,0,0,0,0,2,2,ikigai
474,0,0,0,0,1,0,0,1,0,4,4,ikigai
475,0,2,0,0,1,0,0,2,0,4,4,ikigai
476,0,0,0,0,1,0,0,0,0,2,2,ikigai
477,0,0,0,0,0,0,0,0,1,0,-1,ikigai
478,1,1,1,0,1,0,0,1,1,2,1,ikigai
479,0,1,0,0,2,0,1,3,0,4,4,ikigai
480,0,0,0,0,0,0,0,0,0,0,0,ikigai
481,0,2,0,1,1,0,0,3,1,2,1,ikigai
482,1,2,2,2,2,3,2,2,3,2,-1,ikigai
483,1,1,1,1,1,0,0,1,0,1,1,ikigai
484,0,1,0,0,1,0,1,0,1,4,3,ikigai
485,0,1,0,1,1,0,1,1,0,1,1,ikigai
486,1,0,0,1,0,0,0,1,1,1,0,ikigai
487,0,0,0,1,0,1,0,2,1,1,0,ikigai
488,1,1,0,1,1,1,0,1,2,2,0,ikigai
489,0,1,0,0,1,0,1,1,0,1,1,ikigai
490,0,0,0,1,0,0,0,0,0,2,2,ikigai
491,0,1,0,0,2,0,1,3,0,3,3,ikigai
492,0,0,0,0,1,0,0,1,1,1,0,ikigai
493,0,1,0,0,2,0,0,1,0,2,2,ikigai
494,0,0,0,0,2,0,0,3,0,3,3,ikigai
495,0,0,0,0,0,0,0,0,0,2,2,ikigai
496,0,2,0,0,2,0,1,2,2,4,2,ikigai
497,0,0,0,0,1,0,0,1,0,2,2,ikigai
498,0,0,0,0,0,0,0,2,0,2,2,ikigai
499,0,2,0,0,1,0,1,1,0,2,2,ikigai
500,0,1,0,0,1,1,1,1,0,2,2,ikigai
501,2,2,0,1,1,1,0,2,1,4,3,ikigai
502,0,1,0,0,1,0,1,1,0,2,2,ikigai
503,0,0,0,0,0,0,0,0,0,0,0,ikigai
504,0,0,0,0,0,0,0,0,0,0,0,ikigai
505,0,0,0,0,0,0,0,0,0,2,2,ikigai
506,0,1,0,0,2,0,0,2,0,3,3,ikigai
507,0,0,0,0,1,0,0,1,0,2,2,ikigai
508,0,0,0,0,0,0,0,0,0,0,0,ikigai
509,0,0,0,0,1,0,0,0,0,4,4,ikigai
510,0,1,0,0,1,0,0,1,0,2,2,ikigai
511,0,1,0,0,1,0,1,2,1,1,0,ikigai
512,0,2,0,0,1,0,0,0,0,3,3,ikigai
513,0,1,0,1,0,0,0,0,0,0,0,ikigai
514,0,1,0,0,1,0,1,1,0,1,1,ikigai
515,0,0,1,0,0,1,0,0,1,1,0,ikigai
516,0,1,0,0,2,0,0,1,0,2,2,ikigai
517,0,0,0,0,0,0,0,1,0,1,1,ikigai
518,0,2,0,0,1,0,1,2,0,3,3,ikigai
519,0,0,0,0,1,0,0,1,0,2,2,ikigai
520,0,2,0,0,2,0,1,3,0,4,4,ikigai
521,0,2,0,0,3,0,0,3,1,4,3,ikigai
522,0,1,0,0,1,0,0,1,0,1,1,ikigai
523,0,1,0,0,0,0,0,0,0,1,1,ikigai
524,0,1,0,0,0,0,0,0,0,2,2,ikigai
525,0,3,0,0,3,0,0,3,0,5,5,ikigai
526,0,1,0,0,1,0,0,1,0,1,1,ikigai
527,0,1,0,0,1,0,1,1,0,3,3,ikigai
528,1,0,1,1,0,1,0,0,1,0,-1,ikigai
529,0,0,0,0,0,0,0,3,0,3,3,ikigai
530,0,1,0,0,1,0,1,1,0,1,1,ikigai
531,0,1,0,0,3,0,1,2,0,3,3,ikigai
532,0,0,0,0,0,0,0,0,0,0,0,ikigai
533,0,1,0,0,1,0,1,2,0,5,5,ikigai
534,0,2,0,0,1,0,0,1,0,1,1,ikigai
535,0,2,0,0,2,0,1,4,0,4,4,ikigai
536,0,3,0,0,2,0,1,2,0,3,3,ikigai
537,0,0,0,0,0,0,0,0,0,1,1,ikigai
538,0,2,0,0,2,0,2,2,0,4,4,ikigai
539,0,0,0,0,0,0,0,0,0,0,0,ikigai
540,1,2,0,1,2,1,1,2,1,2,1,ikigai
541,0,0,0,0,1,0,0,0,0,3,3,ikigai
542,1,1,1,0,1,0,1,1,1,1,0,ikigai
543,0,0,0,0,1,0,0,1,0,2,2,ikigai
544,0,1,0,0,0,0,0,0,0,3,3,ikigai
545,1,1,2,0,0,1,0,0,2,0,-2,ikigai
546,0,2,0,0,2,0,2,3,0,5,5,ikigai
547,0,1,0,0,2,0,1,2,0,3,3,ikigai
548,0,0,0,0,1,0,0,1,0,1,1,ikigai
549,0,1,0,0,1,0,1,1,0,1,1,ikigai
550,0,1,0,0,0,1,0,1,1,0,-1,ikigai
551,0,2,0,1,1,1,0,1,1,2,1,ikigai
552,0,1,0,0,2,0,0,2,0,3,3,ikigai
553,0,0,0,0,0,0,0,3,0,3,3,ikigai
554,1,3,1,0,2,1,1,2,1,2,1,ikigai
555,1,1,1,1,1,2,1,1,2,1,-1,ikigai
556,0,1,0,0,1,0,1,1,0,1,1,ikigai
557,0,0,0,0,1,0,1,1,0,1,1,ikigai
558,0,1,0,0,2,0,1,2,0,2,2,ikigai
559,0,0,0,0,0,0,0,0,0,1,1,ikigai
560,0,1,0,0,2,0,0,2,0,2,2,ikigai
561,0,1,0,0,2,0,1,0,0,2,2,ikigai
562,0,2,0,0,1,0,2,1,1,1,0,ikigai
563,0,0,0,0,0,0,0,0,0,1,1,ikigai
564,0,2,0,0,1,0,1,1,0,2,2,ikigai
565,0,0,0,0,0,0,0,0,0,0,0,ikigai
566,0,0,0,0,0,0,0,0,0,0,0,ikigai
567,0,0,0,0,0,0,0,0,0,0,0,ikigai
568,0,0,0,0,0,0,0,1,0,1,1,ikigai
569,0,2,0,0,3,0,1,3,0,5,5,ikigai
570,0,0,0,0,0,0,0,0,0,0,0,ikigai
571,0,1,0,0,1,0,1,1,0,1,1,ikigai
572,1,0,1,0,0,2,0,0,3,2,-1,ikigai
573,0,1,0,0,0,0,0,1,0,1,1,ikigai
574,0,1,0,1,1,0,1,1,1,2,1,ikigai
575,0,2,0,0,2,0,0,3,0,4,4,ikigai
576,0,0,0,0,0,0,0,0,0,0,0,ikigai
577,0,0,0,0,0,0,0,0,0,1,1,ikigai
578,0,0,0,0,0,0,0,0,0,0,0,ikigai
579,0,0,0,0,0,0,0,1,0,1,1,ikigai
580,0,0,0,0,1,0,0,1,2,2,0,ikigai
581,0,0,0,0,1,0,0,1,0,2,2,ikigai
582,0,0,0,0,0,1,0,0,2,0,-2,ikigai
583,0,0,0,0,0,0,0,0,0,0,0,ikigai
584,1,1,0,0,0,1,0,0,1,2,1,ikigai
585,0,0,0,0,0,0,0,0,0,1,1,ikigai
586,0,2,0,1,2,0,0,0,0,4,4,ikigai
587,1,3,2,0,3,0,2,2,1,3,2,ikigai
588,0,0,0,0,0,0,0,0,0,0,0,ikigai
589,0,1,0,0,0,0,0,1,0,4,4,ikigai
590,0,0,0,0,0,0,0,0,0,0,0,ikigai
591,0,1,0,0,1,0,0,1,0,1,1,ikigai
592,0,1,0,0,2,0,0,2,0,4,4,ikigai
593,0,0,0,0,1,0,1,1,0,2,2,ikigai
594,0,0,0,0,1,0,1,3,0,3,3,ikigai
595,1,1,1,1,1,0,1,1,0,2,2,ikigai
596,0,0,0,0,1,0,1,1,0,2,2,ikigai
597,0,0,0,0,0,0,0,0,0,0,0,ikigai
598,0,0,0,0,0,0,0,0,0,0,0,ikigai
599,0,0,0,0,0,0,0,3,1,3,2,ikigai
600,0,1,0,0,1,0,1,2,0,2,2,ikigai
601,0,3,0,0,2,0,0,3,0,2,2,ikigai
602,0,0,0,0,0,0,0,0,0,0,0,ikigai
603,1,2,1,1,1,0,1,2,1,3,2,ikigai
604,0,2,0,0,2,0,0,2,0,4,4,ikigai
605,0,1,0,0,1,1,1,1,2,1,-1,ikigai
606,0,1,0,0,1,0,1,1,0,1,1,ikigai
607,0,1,1,0,1,0,1,2,0,2,2,ikigai
608,0,0,0,0,1,0,0,1,0,1,1,ikigai
609,0,0,0,0,0,0,0,0,0,0,0,ikigai
610,0,1,0,0,0,0,0,0,0,0,0,ikigai
611,0,0,0,0,0,0,0,0,0,0,0,ikigai
612,0,1,0,0,1,0,1,1,0,1,1,ikigai
613,1,0,1,0,1,0,0,0,1,1,0,ikigai
614,0,1,0,1,0,0,0,0,0,1,1,ikigai
615,0,0,0,0,0,0,0,0,0,0,0,ikigai
616,0,1,0,0,1,0,0,2,0,2,2,ikigai
617,0,1,0,0,1,0,1,1,0,2,2,ikigai
618,1,2,0,1,0,0,1,1,2,1,-1,ikigai
619,0,1,0,0,1,0,1,1,0,1,1,ikigai
620,0,2,0,0,1,0,1,1,0,2,2,ikigai
621,0,1,0,0,1,0,1,1,0,1,1,ikigai
622,0,0,0,0,0,0,0,0,0,1,1,ikigai
623,0,1,0,0,2,0,0,2,0,4,4,ikigai
624,0,0,0,0,0,0,0,0,0,1,1,ikigai
625,0,2,0,0,1,0,0,1,0,2,2,ikigai
626,0,1,0,0,1,0,1,1,0,2,2,ikigai
627,0,1,0,1,2,0,0,0,0,4,4,ikigai
628,0,0,0,0,0,0,0,0,0,0,0,ikigai
629,1,3,1,0,2,1,2,3,2,4,2,ikigai
630,0,0,1,0,0,1,0,0,0,2,2,ikigai
631,0,2,0,0,2,0,0,4,0,4,4,ikigai
632,0,0,0,0,0,0,0,0,0,0,0,ikigai
633,0,0,0,0,0,0,0,1,0,1,1,ikigai
634,0,0,0,0,0,0,0,0,0,0,0,ikigai
635,0,0,0,0,0,0,0,0,0,0,0,ikigai
636,0,0,0,0,1,0,0,0,0,1,1,ikigai
637,0,2,0,0,2,0,1,2,0,3,3,ikigai
638,0,0,0,0,1,0,1,1,0,1,1,ikigai
639,0,2,0,0,1,0,1,2,0,2,2,ikigai
640,1,2,0,0,3,0,2,2,1,5,4,ikigai
641,0,2,0,0,1,0,2,1,0,3,3,ikigai
642,0,0,0,0,0,0,0,0,0,0,0,ikigai
643,0,0,0,0,0,0,0,0,0,0,0,ikigai
644,0,0,0,0,0,0,0,0,0,0,0,ikigai
645,0,1,0,0,1,0,0,0,0,1,1,ikigai
646,0,0,0,0,0,0,0,2,0,1,1,ikigai
647,0,0,0,0,1,0,0,1,0,1,1,ikigai
648,0,0,0,0,0,0,0,1,1,0,-1,ikigai
649,0,0,0,0,0,0,0,0,0,1,1,ikigai
650,0,2,0,0,3,0,1,2,0,5,5,ikigai
651,0,1,0,0,2,0,1,1,0,2,2,ikigai
652,0,3,0,0,2,0,1,3,0,3,3,ikigai
653,0,1,0,0,0,0,0,0,0,3,3,ikigai
654,0,0,0,0,0,0,0,0,0,1,1,ikigai
655,0,1,0,0,0,0,0,1,0,1,1,ikigai
656,0,1,0,0,1,0,0,1,0,2,2,ikigai
657,0,1,0,0,1,0,1,1,0,1,1,ikigai
658,0,0,0,0,1,0,1,0,0,1,1,ikigai
659,0,2,1,1,1,1,1,1,1,4,3,ikigai
660,0,1,0,0,1,0,1,1,0,1,1,ikigai
661,1,1,1,1,1,0,0,1,0,1,1,ikigai
662,0,1,0,0,1,0,1,1,0,1,1,ikigai
663,0,0,0,0,0,0,0,0,0,0,0,ikigai
664,0,1,0,0,1,0,1,0,0,3,3,ikigai
665,0,1,0,0,2,0,0,1,0,4,4,ikigai
666,0,2,0,0,1,0,0,1,0,3,3,ikigai
667,0,1,0,0,1,0,0,2,0,5,5,ikigai
668,0,0,0,0,0,0,0,0,0,0,0,ikigai
669,0,0,0,0,0,0,0,1,1,2,1,ikigai
670,1,1,0,0,1,1,1,1,1,1,0,ikigai
671,0,1,0,0,1,0,0,1,0,3,3,ikigai
672,0,0,0,1,0,2,0,2,3,1,-2,ikigai
673,0,2,0,0,3,0,1,3,0,4,4,ikigai
674,0,1,0,0,1,0,0,1,0,1,1,ikigai
675,0,2,0,0,1,0,1,1,0,2,2,ikigai
676,0,0,0,0,0,0,0,0,0,0,0,ikigai
677,0,0,0,0,0,0,0,0,0,0,0,ikigai
678,0,2,0,0,1,0,0,2,0,4,4,ikigai
679,0,2,0,0,1,0,1,0,0,1,1,ikigai
680,0,2,0,0,1,0,0,1,0,1,1,ikigai
681,0,1,0,0,1,0,1,1,0,2,2,ikigai
682,0,2,0,0,2,0,0,2,0,3,3,ikigai
683,0,0,0,0,1,0,0,1,0,1,1,ikigai
684,0,1,0,0,2,0,0,1,0,2,2,ikigai
685,0,0,0,0,0,0,0,1,0,1,1,ikigai
686,0,1,0,0,1,0,1,1,0,1,1,ikigai
687,1,0,0,0,1,1,0,0,2,1,-1,ikigai
688,0,0,0,0,0,1,0,0,2,0,-2,ikigai
689,0,0,0,0,0,0,0,0,0,1,1,ikigai
690,0,0,0,1,0,0,0,0,0,1,1,ikigai
691,0,0,0,0,0,0,0,2,0,2,2,ikigai
692,0,1,0,0,1,0,1,1,0,1,1,ikigai
693,0,0,0,0,1,0,1,1,0,1,1,ikigai
694,0,0,0,0,0,0,0,0,0,0,0,ikigai
695,0,0,0,0,1,0,0,1,0,2,2,ikigai
696,0,0,0,0,0,0,0,0,0,0,0,ikigai
697,0,3,0,0,2,0,0,2,0,4,4,ikigai
698,0,1,0,0,1,0,1,2,0,3,3,ikigai
699,0,0,0,0,0,0,0,0,0,1,1,ikigai
700,0,0,0,0,0,0,0,0,0,1,1,ikigai
701,0,0,0,0,0,0,0,0,0,0,0,ikigai
702,0,1,0,0,1,0,1,1,0,1,1,ikigai
703,0,1,0,1,0,0,1,0,0,1,1,ikigai
704,0,0,0,0,0,0,0,0,0,0,0,ikigai
705,0,0,0,0,0,0,0,0,0,2,2,ikigai
706,0,0,0,0,0,0,0,0,0,0,0,ikigai
707,0,0,0,0,0,0,0,0,0,0,0,ikigai
708,0,0,0,0,1,0,0,1,0,2,2,ikigai
709,0,2,0,0,1,0,1,2,0,3,3,ikigai
710,0,0,0,0,0,0,0,0,0,1,1,ikigai
711,0,0,0,0,0,1,0,0,1,0,-1,ikigai
712,0,0,0,0,0,0,0,0,1,0,-1,ikigai
713,0,0,0,0,0,0,0,1,0,1,1,ikigai
714,0,1,0,0,1,0,0,1,0,2,2,ikigai
715,0,1,0,0,1,0,1,1,0,1,1,ikigai
716,0,2,0,0,3,0,1,1,0,3,3,ikigai
717,0,0,0,0,1,0,1,0,0,1,1,ikigai
718,0,0,0,0,2,0,0,2,1,3,2,ikigai
719,0,0,0,0,0,0,0,0,0,1,1,ikigai
720,0,0,0,0,1,0,0,0,0,1,1,ikigai
721,0,0,0,0,0,0,0,1,0,1,1,ikigai
722,0,1,0,0,1,0,1,1,0,1,1,ikigai
723,0,2,0,0,2,0,1,2,0,2,2,ikigai
724,0,0,0,0,0,0,0,0,0,0,0,ikigai
725,0,2,0,0,2,0,1,1,0,2,2,ikigai
726,0,3,0,0,3,0,0,3,0,3,3,ikigai
727,0,0,1,0,0,1,0,0,0,2,2,ikigai
728,0,1,0,0,1,0,1,1,0,1,1,ikigai
729,0,1,0,0,2,0,1,1,0,2,2,ikigai
730,0,1,0,0,1,0,0,1,0,2,2,ikigai
731,0,0,0,0,1,0,0,0,0,1,1,ikigai
732,0,1,0,0,1,0,0,1,0,2,2,ikigai
733,0,2,0,0,1,0,1,1,0,2,2,ikigai
734,0,1,0,0,1,0,0,1,0,1,1,ikigai
735,0,0,0,1,0,0,0,0,0,1,1,ikigai
736,0,0,0,0,0,0,0,0,0,0,0,ikigai
737,0,1,0,1,0,0,0,0,1,1,0,ikigai
738,0,0,0,0,0,0,0,0,0,0,0,ikigai
739,0,1,0,0,1,0,0,1,0,3,3,ikigai
740,1,0,1,1,0,1,0,1,1,1,0,ikigai
741,0,2,0,0,1,0,0,2,0,3,3,ikigai
742,0,1,0,0,1,0,0,2,0,1,1,ikigai
743,0,1,0,0,1,0,0,0,0,1,1,ikigai
744,0,0,0,0,0,0,0,0,0,2,2,ikigai
745,0,2,0,0,0,0,0,1,0,2,2,ikigai
746,0,1,0,0,1,0,1,1,0,3,3,ikigai
747,0,0,0,0,0,0,0,0,0,2,2,ikigai
748,0,1,0,0,2,0,0,1,0,5,5,ikigai
749,0,2,0,0,2,0,1,3,0,3,3,ikigai
750,0,0,0,0,0,0,0,0,0,0,0,ikigai
751,0,0,0,0,0,0,0,0,0,0,0,ikigai
752,0,0,0,0,0,0,0,0,0,0,0,ikigai
753,0,1,0,0,1,0,1,1,0,2,2,ikigai
754,0,1,0,0,2,0,1,1,0,2,2,ikigai
755,0,0,0,0,0,0,0,1,0,2,2,ikigai
756,0,0,0,0,0,0,0,0,0,0,0,ikigai
757,0,0,0,0,0,0,0,0,0,0,0,ikigai
758,0,0,0,0,1,0,1,2,0,2,2,ikigai
759,0,2,0,0,2,0,1,2,0,4,4,ikigai
760,0,0,0,0,0,0,0,0,0,0,0,ikigai
761,0,1,0,0,2,0,1,2,0,5,5,ikigai
762,0,0,0,0,0,0,0,0,0,0,0,ikigai
763,0,0,0,0,0,0,0,0,0,1,1,ikigai
764,0,0,0,0,0,0,0,0,1,0,-1,ikigai
765,0,1,0,0,2,0,1,2,0,2,2,ikigai
766,0,0,0,0,0,0,0,0,0,0,0,ikigai
767,0,3,0,0,3,0,2,3,0,3,3,ikigai
768,0,1,0,0,2,0,0,3,0,5,5,ikigai
769,0,3,0,0,2,0,0,2,0,2,2,ikigai
770,0,2,0,0,1,0,0,1,0,2,2,ikigai
771,0,1,0,0,1,0,0,0,0,2,2,ikigai
772,0,2,0,1,1,0,1,1,0,2,2,ikigai
773,0,1,0,0,1,0,0,2,0,3,3,ikigai
774,0,0,0,0,0,0,0,1,0,1,1,ikigai
775,1,0,0,1,0,1,0,0,1,0,-1,ikigai
776,0,0,0,0,0,0,0,0,0,0,0,ikigai
777,0,1,1,0,1,1,1,2,0,3,3,ikigai
778,0,4,0,0,4,0,2,3,0,5,5,ikigai
779,0,2,0,0,2,0,1,3,0,3,3,ikigai
780,0,2,0,0,2,1,1,1,0,3,3,ikigai
781,0,2,0,0,1,0,0,2,0,4,4,ikigai
782,0,0,0,0,0,0,0,1,0,5,5,ikigai
783,0,0,1,1,0,0,0,0,1,0,-1,ikigai
784,0,0,0,0,0,0,0,0,0,0,0,ikigai
785,0,1,0,0,1,0,1,1,0,1,1,ikigai
786,0,0,0,0,0,0,0,0,0,0,0,ikigai
787,0,0,0,0,2,0,0,1,0,3,3,ikigai
788,0,0,0,1,1,0,0,1,0,2,2,ikigai
789,0,0,0,0,0,0,0,0,0,0,0,ikigai
790,0,1,0,0,1,0,1,1,0,1,1,ikigai
791,0,2,0,0,2,0,1,3,0,4,4,ikigai
792,0,0,0,0,0,0,0,0,0,0,0,ikigai
793,0,2,0,0,3,0,1,4,0,3,3,ikigai
794,0,1,0,0,1,0,0,1,0,1,1,ikigai
795,0,0,0,0,0,1,0,0,1,0,-1,ikigai
796,0,0,0,0,0,0,0,0,0,1,1,ikigai
797,0,0,0,0,1,0,0,1,0,1,1,ikigai
798,0,1,0,0,1,0,0,1,0,2,2,ikigai
799,1,1,0,1,1,2,2,1,2,1,-1,ikigai
800,0,0,0,0,1,0,0,1,0,1,1,ikigai
801,0,0,0,0,0,0,0,0,0,0,0,ikigai
802,0,2,0,0,2,0,0,3,0,2,2,ikigai
803,0,2,0,0,0,0,0,0,0,1,1,ikigai
804,0,0,0,0,0,0,0,0,0,1,1,ikigai
805,0,1,0,0,1,0,1,2,0,3,3,ikigai
806,0,0,0,0,0,0,0,1,0,1,1,ikigai
807,0,1,0,0,1,0,1,1,0,3,3,ikigai
808,0,0,0,0,0,0,0,1,0,1,1,ikigai
809,0,2,0,0,2,0,2,2,0,5,5,ikigai
810,0,0,0,0,0,0,0,1,0,2,2,ikigai
811,0,1,0,0,0,1,0,0,1,1,0,ikigai
812,0,0,0,0,0,0,0,0,0,0,0,ikigai
813,0,1,0,0,2,0,1,2,0,3,3,ikigai
814,0,1,0,0,1,0,0,1,0,1,1,ikigai
815,0,0,0,0,1,0,0,1,0,2,2,ikigai
816,0,1,0,0,0,0,0,0,1,0,-1,ikigai
817,0,0,0,0,0,0,0,0,0,0,0,ikigai
818,0,1,0,0,1,0,0,0,0,1,1,ikigai
819,1,2,0,0,2,1,2,1,1,3,2,ikigai
820,0,0,0,0,1,0,0,0,0,1,1,ikigai
821,0,2,0,0,2,0,2,3,0,4,4,ikigai
822,0,0,0,0,0,0,0,1,0,1,1,ikigai
823,0,1,0,0,0,0,0,0,0,0,0,ikigai
824,0,1,1,0,2,1,1,2,2,2,0,ikigai
825,0,0,0,0,0,0,0,0,0,0,0,ikigai
826,0,2,0,0,2,0,1,1,0,3,3,ikigai
827,0,0,0,0,0,0,0,0,0,0,0,ikigai
828,1,0,1,0,0,1,0,1,2,0,-2,ikigai
829,0,0,0,0,0,0,0,0,0,1,1,ikigai
830,0,1,0,0,0,0,0,0,0,0,0,ikigai
831,0,0,0,0,1,0,0,2,0,2,2,ikigai
832,0,0,0,0,0,0,0,1,0,1,1,ikigai
833,0,0,0,0,0,0,0,0,0,1,1,ikigai
834,0,0,0,0,0,0,0,0,0,0,0,ikigai
835,1,0,2,0,0,0,0,0,2,0,-2,ikigai
836,0,0,0,0,0,0,0,0,0,1,1,ikigai
837,0,1,0,0,1,0,1,1,0,1,1,ikigai
838,0,0,0,0,0,0,0,0,0,0,0,ikigai
839,0,0,0,0,0,0,0,0,0,0,0,ikigai
840,0,0,0,0,0,0,0,0,0,2,2,ikigai
841,0,1,0,0,2,0,1,1,0,2,2,ikigai
842,0,1,0,0,1,0,0,4,0,4,4,ikigai
843,0,3,0,0,2,0,0,2,0,4,4,ikigai
844,0,1,0,0,2,0,1,2,0,2,2,ikigai
845,0,0,0,0,0,0,0,0,0,1,1,ikigai
846,0,1,0,0,0,0,0,1,0,1,1,ikigai
